setting,collision_events,arrival_rate,mean_speed,rms_jerk
theta_base,6.5,0.7,8.103165214462287,1.2584524362181901
sample_00,7.5,0.6,8.10167350592549,1.4879143056731627
sample_01,6.0,0.55,8.09268481664418,1.0115934561828739
sample_02,7.5,0.5,8.0996853676359,1.1421835139458487
sample_03,6.5,0.7,8.099671399690028,1.420037496707089
sample_04,6.5,0.35,8.093214370792724,1.1223639546480162
sample_05,7.0,0.55,8.113128981221674,1.320168097134003
sample_06,6.5,0.5,8.093086220185299,1.1686950363467943
sample_07,6.5,0.75,8.091999825488116,1.2306144121521192
sample_08,8.0,0.45,8.096940943689393,1.3819187361667102
sample_09,8.5,0.6,8.162706464803946,1.7118383740035048
sample_10,6.5,0.45,8.097143594764932,1.3288081293504979
sample_11,8.0,0.45,8.094148525711102,1.3070854925507585
