algo=mappo | actors=1 | obs_dim=31 | state_dim=91 | agents=10
Update    1/200 | reward=-3316.342 | best=-3316.342 | collisions=148.00 | arrived= 0.00 | critic=91993.016 | policy_loss=  0.056 | entropy= -0.359
Update   20/200 | reward=-2639.037 | best=-2639.037 | collisions= 25.00 | arrived= 0.60 | critic=47091.730 | policy_loss= -0.047 | entropy= -0.384
Update   40/200 | reward=-1598.143 | best= -834.790 | collisions= 62.50 | arrived= 0.65 | critic=9824.451 | policy_loss=  0.075 | entropy= -0.332
Update   60/200 | reward=  449.680 | best=  487.365 | collisions=141.00 | arrived= 0.95 | critic=2399.364 | policy_loss=  0.140 | entropy= -0.337
Update   80/200 | reward=  928.707 | best=  928.707 | collisions=233.50 | arrived= 1.00 | critic= 477.869 | policy_loss=  0.038 | entropy= -0.429
Update  100/200 | reward=  946.677 | best=  946.677 | collisions=158.25 | arrived= 1.00 | critic= 133.981 | policy_loss= -0.046 | entropy= -0.523
Update  120/200 | reward=  952.746 | best=  957.503 | collisions= 86.50 | arrived= 1.00 | critic=  46.400 | policy_loss=  0.041 | entropy= -0.636
Update  140/200 | reward=  954.522 | best=  965.774 | collisions=180.00 | arrived= 1.00 | critic=  72.575 | policy_loss= -0.128 | entropy= -0.746
Update  160/200 | reward=  955.533 | best=  970.916 | collisions=117.50 | arrived= 1.00 | critic=  14.697 | policy_loss=  0.040 | entropy= -0.844
Update  180/200 | reward=  952.489 | best=  970.916 | collisions=133.00 | arrived= 1.00 | critic=  28.791 | policy_loss=  0.129 | entropy= -0.902
Update  200/200 | reward=  961.872 | best=  971.628 | collisions=120.00 | arrived= 1.00 | critic=  25.100 | policy_loss=  0.056 | entropy= -0.980
Saved mappo policy to Baselines\checkpoints\mappo_policy_seed0.pt
