algo=mappo | actors=1 | obs_dim=31 | state_dim=91 | agents=10
Update    1/200 | reward=-3012.391 | best=-3012.391 | collisions=  2.50 | arrived= 0.57 | critic=85465.008 | policy_loss= -0.009 | entropy= -0.360
Update   20/200 | reward=  329.087 | best=  482.278 | collisions= 92.25 | arrived= 1.00 | critic=6535.964 | policy_loss= -0.073 | entropy= -0.432
Update   40/200 | reward=  936.597 | best=  937.883 | collisions= 71.75 | arrived= 1.00 | critic=7602.231 | policy_loss=  0.023 | entropy= -0.503
Update   60/200 | reward=  932.802 | best=  948.395 | collisions=209.50 | arrived= 1.00 | critic=4125.568 | policy_loss= -0.006 | entropy= -0.507
Update   80/200 | reward=  950.449 | best=  956.766 | collisions=112.50 | arrived= 1.00 | critic=1773.561 | policy_loss= -0.018 | entropy= -0.502
Update  100/200 | reward=  952.526 | best=  957.495 | collisions= 82.50 | arrived= 1.00 | critic= 585.978 | policy_loss= -0.087 | entropy= -0.544
Update  120/200 | reward=  954.900 | best=  962.930 | collisions=129.75 | arrived= 1.00 | critic= 192.177 | policy_loss=  0.059 | entropy= -0.599
Update  140/200 | reward=  957.820 | best=  963.139 | collisions= 73.75 | arrived= 1.00 | critic=  68.494 | policy_loss=  0.162 | entropy= -0.681
Update  160/200 | reward=  960.687 | best=  968.099 | collisions= 80.75 | arrived= 1.00 | critic=  40.099 | policy_loss= -0.006 | entropy= -0.778
Update  180/200 | reward=  959.353 | best=  970.558 | collisions= 74.75 | arrived= 1.00 | critic=  27.208 | policy_loss= -0.130 | entropy= -0.879
Update  200/200 | reward=  957.427 | best=  970.558 | collisions= 85.00 | arrived= 1.00 | critic=  14.837 | policy_loss= -0.019 | entropy= -0.949
Saved mappo policy to Baselines\checkpoints\mappo_policy_seed2.pt
