algo=mappo | actors=1 | obs_dim=31 | state_dim=91 | agents=10
Update    1/200 | reward=-4430.530 | best=-4430.530 | collisions= 26.25 | arrived= 0.00 | critic=103615.266 | policy_loss= -0.060 | entropy= -0.358
Update   20/200 | reward=-1522.151 | best=-1522.151 | collisions= 63.75 | arrived= 0.85 | critic=33978.508 | policy_loss=  0.096 | entropy= -0.393
Update   40/200 | reward= -833.833 | best= -776.197 | collisions= 97.75 | arrived= 0.82 | critic=21285.846 | policy_loss=  0.064 | entropy= -0.416
Update   60/200 | reward=  853.911 | best=  853.911 | collisions=289.25 | arrived= 1.00 | critic=1844.483 | policy_loss=  0.230 | entropy= -0.425
Update   80/200 | reward=  930.393 | best=  938.976 | collisions=263.50 | arrived= 1.00 | critic= 634.989 | policy_loss= -0.017 | entropy= -0.510
Update  100/200 | reward=  933.853 | best=  952.698 | collisions=151.25 | arrived= 1.00 | critic= 125.355 | policy_loss= -0.076 | entropy= -0.599
Update  120/200 | reward=  942.228 | best=  958.145 | collisions=189.50 | arrived= 1.00 | critic= 106.223 | policy_loss= -0.138 | entropy= -0.651
Update  140/200 | reward=  958.539 | best=  960.214 | collisions=132.75 | arrived= 1.00 | critic=  33.091 | policy_loss=  0.033 | entropy= -0.771
Update  160/200 | reward=  964.542 | best=  968.884 | collisions= 96.00 | arrived= 1.00 | critic=  28.877 | policy_loss=  0.046 | entropy= -0.827
Update  180/200 | reward=  958.690 | best=  973.585 | collisions=154.50 | arrived= 1.00 | critic=  27.652 | policy_loss= -0.016 | entropy= -0.901
Update  200/200 | reward=  972.412 | best=  973.585 | collisions=101.00 | arrived= 1.00 | critic=  25.136 | policy_loss= -0.066 | entropy= -0.974
Saved mappo policy to Baselines\checkpoints\mappo_policy_seed3.pt
