Using robust utility params from C:\Users\Pedram\NR-MAP\Calibration\utility_calibration.json
Behavioral data term: band=0.10, shaping=0.50
Utility-only baseline metric over 5 episodes: 7.119
Update    1/400 | metric=   4.296 | best=   4.296 | collisions= 0.12 | realism=0.800 | loss=2569.251 | entropy= 2.131
Update   10/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.758 | loss=3111.688 | entropy= 2.799
Update   20/400 | metric=   5.000 | best=   0.000 | collisions= 0.50 | realism=0.788 | loss=2701.324 | entropy= 3.146
Update   30/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.761 | loss=2215.832 | entropy= 3.526
Update   40/400 | metric=   3.750 | best=   0.000 | collisions= 0.38 | realism=0.806 | loss=1607.693 | entropy= 3.882
Update   50/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.831 | loss=2358.389 | entropy= 4.233
Update   60/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.760 | loss=1960.843 | entropy= 4.486
Update   70/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.786 | loss=1495.180 | entropy= 4.896
Update   80/400 | metric=   3.916 | best=   0.000 | collisions= 0.25 | realism=0.854 | loss= 979.175 | entropy= 5.284
Update   90/400 | metric=   3.750 | best=   0.000 | collisions= 0.38 | realism=0.821 | loss= 956.606 | entropy= 5.497
Update  100/400 | metric=   3.750 | best=   0.000 | collisions= 0.38 | realism=0.765 | loss=1332.162 | entropy= 5.737
Update  110/400 | metric=   8.395 | best=   0.000 | collisions= 0.38 | realism=0.805 | loss= 980.065 | entropy= 6.007
Update  120/400 | metric=  12.931 | best=   0.000 | collisions= 0.62 | realism=0.851 | loss= 676.460 | entropy= 6.218
Update  130/400 | metric= 100.736 | best=   0.000 | collisions= 0.25 | realism=0.899 | loss= 940.738 | entropy= 6.419
Update  140/400 | metric=   7.319 | best=   0.000 | collisions= 0.62 | realism=0.833 | loss= 889.885 | entropy= 6.679
Update  150/400 | metric=   5.927 | best=   0.000 | collisions= 0.25 | realism=0.822 | loss= 617.453 | entropy= 6.912
Update  160/400 | metric= 109.767 | best=   0.000 | collisions= 2.25 | realism=0.845 | loss= 900.920 | entropy= 7.083
Update  170/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.808 | loss= 720.521 | entropy= 7.237
Update  180/400 | metric=   2.917 | best=   0.000 | collisions= 0.25 | realism=0.853 | loss=1113.950 | entropy= 7.472
Update  190/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.871 | loss= 446.030 | entropy= 7.696
Update  200/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.811 | loss= 597.325 | entropy= 7.916
Update  210/400 | metric=   5.000 | best=   0.000 | collisions= 0.50 | realism=0.829 | loss= 404.062 | entropy= 8.129
Update  220/400 | metric=   2.500 | best=   0.000 | collisions= 0.25 | realism=0.811 | loss= 750.393 | entropy= 8.275
Update  230/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.854 | loss= 392.203 | entropy= 8.527
Update  240/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.869 | loss= 297.757 | entropy= 8.763
Update  250/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.856 | loss= 563.170 | entropy= 8.967
Update  260/400 | metric=   7.500 | best=   0.000 | collisions= 0.75 | realism=0.843 | loss=  62.111 | entropy= 9.139
Update  270/400 | metric=  10.476 | best=   0.000 | collisions= 0.62 | realism=0.811 | loss= 339.335 | entropy= 9.385
Update  280/400 | metric=   2.500 | best=   0.000 | collisions= 0.25 | realism=0.769 | loss= 731.822 | entropy= 9.547
Update  290/400 | metric=  23.806 | best=   0.000 | collisions= 2.00 | realism=0.835 | loss= 117.147 | entropy= 9.792
Update  300/400 | metric=   3.750 | best=   0.000 | collisions= 0.38 | realism=0.868 | loss= 375.085 | entropy= 9.972
Update  310/400 | metric=   6.250 | best=   0.000 | collisions= 0.62 | realism=0.842 | loss= 361.910 | entropy=10.213
Update  320/400 | metric=  35.971 | best=   0.000 | collisions= 0.12 | realism=0.810 | loss= 298.613 | entropy=10.501
Update  330/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.843 | loss= 343.065 | entropy=10.674
Update  340/400 | metric=   8.637 | best=   0.000 | collisions= 0.50 | realism=0.832 | loss= 292.028 | entropy=10.871
Update  350/400 | metric=   3.750 | best=   0.000 | collisions= 0.38 | realism=0.794 | loss= 390.211 | entropy=11.156
Update  360/400 | metric=   2.500 | best=   0.000 | collisions= 0.25 | realism=0.840 | loss= 211.387 | entropy=11.296
Update  370/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.838 | loss= 258.455 | entropy=11.518
Update  380/400 | metric=   6.250 | best=   0.000 | collisions= 0.62 | realism=0.837 | loss= 472.373 | entropy=11.729
Update  390/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.811 | loss= 488.883 | entropy=11.840
Update  400/400 | metric=   5.000 | best=   0.000 | collisions= 0.50 | realism=0.809 | loss= 266.799 | entropy=12.090
Saved PPO residual policy to RL\checkpoints\residual_policy_seed4.pt
